
"English;Latin;Français;Español;Portugues;Italiano;TA2ID"
"Urogenital region;Regio urogenitalis;Région urogénitale;Región urogenital;Região urogenital;Regione urogenitale;279"
"Regions of upper limb;Regiones membri superioris;Régions du membre supérieur;Regiones del miembro superior;Regiões do membro superior;Regioni dell'arto superiore;280"
"Axillary region;Regio axillaris;Région axillaire;Región axilar;Região axilar;Regione ascellare;281"
"Axillary fossa;Fossa axillaris;Fosse axillaire;Fosa axilar;Fossa axilar;Fossa ascellare;282"
"Deltoid region;Regio deltoidea;Région deltoïdienne;Región deltoidea;Região deltóide;Regione deltoidea;283"
"Brachial region;Regio brachialis;Région brachiale;Región braquial;Região braquial;Regione brachiale;284"
"Anterior region of arm;Regio anterior brachii;Région antérieure du bras;Región anterior del brazo;Região anterior do braço;Regione anteriore del braccio;285"
"Lateral bicipital groove;Sulcus bicipitalis lateralis;Sillon bicipital latéral;Surco bicipital lateral;Sulco bicipital lateral;Solco bicipitale laterale;286"
"Medial bicipital groove;Sulcus bicipitalis medialis;Sillon bicipital médial;Surco bicipital medial;Sulco bicipital medial;Solco bicipitale mediale;287"
"Posterior region of arm;Regio posterior brachii;Région postérieure du bras;Región posterior del brazo;Região posterior do braço;Regione posteriore del braccio;288"
"Cubital region;Regio cubitalis;Région cubitale;Región cubital;Região cubital;Regione cubitale;289"
"Anterior region of elbow;Regio anterior cubiti;Région antérieure du coude;Región anterior del codo;Região anterior do cotovelo;Regione anteriore del gomito;290"
"Cubital fossa;Fossa cubitalis;Pli du coude;Fosa cubital;Fossa cubital;Fossa cubitale;291"
"Posterior region of elbow;Regio posterior cubiti;Région postérieure du coude;Región posterior del codo;Região posterior do cotovelo;Regione posteriore del gomito;292"
"Antebrachial region;Regio antebrachialis;Région antébrachiale;Región antebraquial;Região antebraquial;Regione antibrachiale;293"
"Anterior region of forearm;Regio anterior antebrachii;Région antérieure de l'avant-bras;Región anterior del antebrazo;Região anterior do antebraço;Regione anteriore dell'avambraccio;294"
"Posterior region of forearm;Regio posterior antebrachii;Région postérieure de l'avant-bras;Región posterior del antebrazo;Região posterior do antebraço;Regione posteriore dell'avambraccio;295"
"Lateral border of forearm;Margo lateralis antebrachii;Bord latéral de l'avant-bras;Margen lateral del antebrazo;Borda lateral do antebraço;Margine laterale dell'avambraccio;296"
"Medial border of forearm;Margo medialis antebrachii;Bord médial de l'avant-bras;Margen medial del antebrazo;Borda medial do antebraço;Margine mediale dell'avambraccio;297"
"Carpal region;Regio carpea;Région carpienne;Región carpiana;Região do carpo;Regione carpale;298"
"Anterior region of wrist;Regio anterior carpi;Région antérieure du poignet;Región anterior de la muñeca;Região anterior do punho;Regione anteriore del polso;299"
"Posterior region of wrist;Regio posterior carpi;Région postérieure du poignet;Región posterior de la muñeca;Região posterior do punho;Regione posteriore del polso;300"
"Radial foveola;Foveola radialis;Tabattière anatomique;Tabaquera anatómica;Fovéola radial;Fossa radiale;301"
"Regions of hand;Regiones manus;Régions de la main;Regiones de la mano;Regiões de mão;Regioni della mano;302"
"Metacarpal region;Regio metacarpea;Région métacarpienne;Región metacarpiana;Região metacarpal;Regione metacarpale;303"
"Dorsum of hand;Dorsum manus;Dos de la main;Dorso de la mano;Dorso da mão;Dorso della mano;304"
"Palm;Palma;Paume;Palma;Palma;Palmo;305"
"Thenar eminence;Eminentia thenaris;Éminence thénar;Eminencia tenar;Eminência tenar;Eminenza tenar;306"
"Hypothenar eminence;Eminentia hypothenaris;Éminence hypothénar;Eminencia hipotenar;Eminência hipotenar;Eminenza ipotenar;307"
"Regions of digits of hand;Regiones digitorum manus;Régions des doigts de la main;Regiones de los dedos de la mano;Regiões de dígitos da mão;Regioni delle dita della mano;308"
"Palmar surfaces of digits of hand;Facies palmares digitorum manus;Surfaces palmaires des doigts de la main;Superficies palmares de los dedos de la mano;Superfícies palmares dos dígitos da mão;Superfici palmari delle dita della mano;309"
"Dorsal surfaces of digits of hand;Facies dorsales digitorum manus;Surfaces dorsales des doigts de la main;Superficies dorsales de los dedos de la mano;Superfícies dorsais dos dedos da mão;Superfici dorsali delle dita della mano;310"
"Interdigital spaces of hand;Spatia interdigitalia manus;Espaces interdigitaux de la main;Espacios interdigitales de la mano;Espaços interdigitais da mão;Spazi interdigitali della mano;311"
"Regions of lower limb;Regiones membri inferioris;Régions du membre inférieur;Regiones del miembro inferior;Regiões do membro inferior;Regioni dell'arto inferiore;312"
"Gluteal region;Regio glutea;Région glutéale;Región glútea;Região glútea;Regione glutea;313"
"Intergluteal cleft;Crena interglutea;Sillon interfessier;Surco interglúteo;Fenda interglútea;Solco intergluteo;314"
"Gluteal fold;Sulcus gluteus;Pli fessier;Pliegue glúteo;Dobra glútea;Piega glutea;315"
"Hip region;Regio coxalis;Région de la hanche;Región de la cadera;Região do quadril;Regione dell'anca;316"
"Femoral region;Regio femoralis;Région fémorale;Región femoral;Região femoral;Regione femorale;317"
"Anterior region of thigh;Regio anterior femoris;Région antérieure de la cuisse;Región anterior del muslo;Região anterior da coxa;Regione anteriore della coscia;318"
"Femoral triangle;Trigonum femorale;Triangle fémoral;Triángulo femoral;Triângulo femoral;Triangolo femorale;319"
"Posterior region of thigh;Regio posterior femoris;Région postérieure de la cuisse;Región posterior del muslo;Região posterior da coxa;Regione posteriore della coscia;320"
"Knee region;Regio genualis;Région du genou;Region de la rodilla;Região do joelho;Regione del ginocchio;321"
"Anterior region of knee;Regio anterior genus;Région antérieure du genou;Región anterior de la rodilla;Região anterior do joelho;Regione anteriore del ginocchio;322"
"Posterior region of knee;Regio posterior genus;Région postérieure du genou;Región posterior de la rodilla;Região posterior do joelho;Regione posteriore del ginocchio;323"
"Popliteal fossa;Fossa poplitea;Fosse poplitée;Fosa poplítea;Fossa poplítea;Fossa poplitea;324"
"Leg region;Regio cruralis;Région de la jambe;Región crural;Região da perna;Regione della gamba;325"
"Anterior region of leg;Regio anterior cruris;Région antérieure de la jambe;Región anterior de la pierna;Região anterior da perna;Regione anteriore della gamba;326"
"Posterior region of leg;Regio posterior cruris;Région postérieure de la jambe;Región posterior de la pierna;Região posterior da perna;Regione posteriore della gamba;327"
"Sural region;Regio suralis;Région surale;Región sural;Região sural;Regione surale;328"
"Talocrural region;Regio talocruralis;Région talocrurale;Región talocrural;Região talocrural;Regione talocrurale;329"
"Anterior region of ankle;Regio anterior tali;Région antérieure de la cheville;Región anterior del tobillo;Região anterior do tornozelo;Regione anteriore della caviglia;330"
"Posterior region of ankle;Regio posterior tali;Région postérieure de la cheville;Región posterior del tobillo;Região posterior do tornozelo;Regione posteriore della caviglia;331"
"Lateral retromalleolar region;Regio retromalleolaris lateralis regio;Région rétromalléolaire latérale;Región retromaleolar lateral;Região retromaleolar lateral;Regione retromalleolare laterale;332"
"Medial retromalleolar region;Regio retromalleolaris medialis regio;Région rétromalléolaire médiale;Región retromaleolar medial;Região retromaleolar medial;Regione retromalleolare mediale;333"
"Regions of foot;Regiones pedis;Régions du pied;Regiones del pie;Regiões do pé;Regioni del piede;334"
"Heel region;Regio calcanea;Région calcanéenne;Región del talón;Região do calcanhar;Regione del tallone;335"
"Dorsum of foot;Dorsum pedis;Dos du pied;Dorso del pie;Dorso do pé;Dorso del piede;336"
"Sole;Planta;Plante du pied;Planta;Sola;Pianta del piede;337"
"Longitudinal arch of foot;Arcus longitudinalis pedis;Arche longitudinale du pied;Arco longitudinal del pie;Arco longitudinal do pé;Arco longitudinale del piede;338"
"Lateral part of longitudinal arch of foot;Pars lateralis arcus longitudinalis pedis;Partie latérale de l'arche longitudinale du pied;Parte lateral del arco longitudinal del pie;Parte lateral do arco longitudinal do pé;Parte laterale dell'arco longitudinale del piede;339"
"Medial part of longitudinal arch of foot;Pars medialis arcus longitudinalis pedis;Partie médiale de l'arche longitudinale du pied;Parte medial del arco longitudinal del pie;Parte medial da longitudinal;Parte mediale dell'arco longitudinale del piede;340"
"Proximal transverse arch of foot;Arcus transversus proximalis;Arche transverse proximale du pied;Arco transverso proximal del pie;Arco transversal proximal do pé;Arco trasversale prossimale del piede;341"
"Distal transverse arch of foot;Arcus transversus distalis pedis;Arche transverse distale du pied;Arco transverso distal del pie;Arco transversal distal do pé;Arco trasversale distale del piede;342"
"Lateral border of foot;Margo lateralis pedis;Bord latéral du pied;Margen lateral del pie;Borda lateral do pé;Margine laterale del piede;343"
"Medial border of foot;Margo medialis pedis;Bord médial du pied;Margen medial del pie;Borda medial do pé;Margine mediale del piede;344"
"Metatarsal region;Regio metatarsea;Région métatarsienne;Region metatarsiana;Região metatarso;Regione metatarsale;345"
"Hallucial eminence;Eminentia hallucis;Eminence du gros orteil;Eminencia del hallux;Eminência do hálux;Eminenza dell'alluce;346"
"Regions of digits of foot;Regiones digitorum pedis;Régions des doigts de pied;Regiones de los dedos del pie;Regiões de dígitos do pé;Regioni delle dita del piede;347"
"Plantar surfaces of digits of foot;Facies plantares digitorum;Surfaces plantaires des doigts de pied;Superficies plantares de los dedos del pie;Superfícies plantares dos dedos do pé;Superfici plantari delle dita del piede;348"
"Dorsal surfaces of digits of foot;Facies dorsales digitorum;Régions dorsales des doigts de pied;Regiones dorsales de los dedos del pie;Superfícies dorsais dos dedos do pé;Superfici dorsali delle dita del piede;349"
"Interdigital spaces of foot;Spatia interdigitalia pedis;Espaces interdigitaux du pied;Espacios interdigitales del pie;Espaços interdigitais do pé;Spazi interdigitali del piede;350"
"Musculoskeletal systems;Systemata musculoskeletalia;Systèmes musculosquelettiques;Sistemas musculoesqueléticos;Sistemas musculoesqueléticos;Apparato muscoloscheletrico;351"
"Skeletal system;Systema skeletale;Système squelettique;Sistema esquelético;Sistema esqueletico;Sistema scheletrico;352"
"Axial skeleton;Skeleton axiale;Squelette axial;Esqueleto axial;Esqueleto axial;Scheletro assiale;353"
"Neurocranium;Neurocranium;Neurocrâne;Neurocráneo;Neurocrânio;Neurocranio;354"
"Viscerocranium;Viscerocranium;Viscérocrâne;Viscerocráneo;Viscerocrânio;Viscerocranio;355"
"Facial bones;Ossa faciei;Os de la face;Huesos de la cara;Ossos faciais;Ossa facciali;356"
"Chondrocranium;Chondrocranium;Chondrocrâne;Condrocráneo;Condrocrânio;Condrocranio;357"
"Desmocranium;Desmocranium;Desmocrâne;Desmocráneo;Desmocrânio;Desmocranio;358"
"Appendicular skeleton;Skeleton appendiculare;Squelette appendiculaire;Esqueleto apendicular;Esqueleto apendicular;Scheletro appendicolare;359"
"Skeleton of upper limbs;Skeleton membrorum superiorum;Squelette des membres supérieurs;Esqueleto de los miembros superiores;Esqueleto dos membros superiores;Scheletro degli arti superiori;360"
"Pectoral girdle;Cingulum pectorale;Ceinture scapulaire;Cíngulo pectoral;Cintura escapular;Cingolo scapolare;361"
"Skeleton of free upper limb;Skeleton partis liberae membri superioris;Squelette de la partie libre du membre supérieur;Esqueleto de la parte libre del miembro superior;Esqueleto do membro superior livre;Scheletro della parte libera dell'arto superiore;362"
"Skeleton of lower limbs;Skeleton membrorum inferiorum;Squelette des membres inférieurs;Esqueleto de los miembros inferiores;Esqueleto de membros inferiores;Scheletro degli arti inferiori;363"
"Pelvic girdle;Cingulum pelvicum;Ceinture pelvienne;Cíngulo pélvico;Cintura pélvica;Cinto pelvico;364"
"Skeleton of free lower limb;Skeleton partis liberae membri inferioris;Squelette de la partie libre du membre inférieur;Esqueleto de la parte libre del miembro inferior;Esqueleto de membro inferior livre;Scheletro della parte libera dell'arto inferiore;365"
"Bones;Ossa;Os(plusieurs);Huesos;Ossos;Ossa;366"
"Membranous bone;Os membranaceum;Os membraneux;Hueso membranoso;Osso membranoso;Osso membranoso;367"
"Endochondral bone;Os endochondrale;Os endochondral;Hueso endocondral;Osso endocondral;Osso endocondrale;368"
"Long bone;Os longum;Os long;Hueso largo;Osso longo;Osso lungo;369"
"Short bone;Os breve;Os court;Hueso corto;Osso curto;Osso corto;370"
"Flat bone;Os planum;Os plat;Hueso plano;Osso plano;Osso piatto;371"
"Irregular bone;Os irregulare;Os irrégulier;Hueso irregular;Osso irregular;Osso irregolare;372"
"Pneumatised bone;Os pneumaticum;Os pneumatisé;Hueso neumático;Osso pneumatizado;Osso pneumatizzato;373"
"Sesamoid bone;Os sesamoideum;Os sésamoïde;Hueso sesamoideo;Osso sesamóide;Osso sesamoide;374"
"(Accessory bone);(Os accessorium);(Os accessoire);(Hueso accesorio);(Osso acessório);(Osso accessorio);375"
"(Supernumerary bone);(Os supernumerarium);(Os supranuméraire);(Hueso supernumerario);(Osso supranumerário);(Osso soprannumerario);376"
"Bone;Os;Os;Hueso;Osso;Osso;377"
"Bony part of bone;Pars ossea ossis;Partie osseuse de l'os;Parte ósea del hueso;Parte óssea do osso;Parte ossea dell'osso;378"
"Compact bone;Substantia compacta;Os compact;Hueso compacto;Osso compacto;Osso compatto;379"
"Spongy bone;Substantia spongiosa;Os spongieux;Hueso esponjoso;Osso esponjoso;Osso spugnoso;380"
"Cartilaginous part of bone;Pars cartilaginea ossis;Partie cartilagineuse de l'os;Parte cartilaginosa del hueso;Parte cartilaginosa do osso;Parte cartilaginea dell'osso;381"
"Articular cartilage;Cartilago articularis;Cartilage articulaire;Cartílago articular;Cartilagem articular;Cartilagine articolare;382"
"Membranous part of bone;Pars membranacea ossis;Partie membraneuse de l'os;Parte membranosa del hueso;Parte membranosa do osso;Parte membranosa dell'osso;383"
"Periosteum;Periosteum;Périoste;Periostio;Periósteo;Periostio;384"
"Perichondrium;Perichondrium;Périchondre;Pericondrio;Pericôndrio;Pericondrio;385"
"Medullary cavity;Cavitas medullaris ossis;Canal médullaire;Cavidad medular ósea;Cavidade medular;Cavità midollare;386"
"Endosteum;Endosteum;Endosteum;Endostio;Endosteum;Endostio;387"
"Bone marrow;Medulla ossis;Moëlle osseuse;Médula ósea;Medula óssea;Midollo osseo;388"
"Yellow bone marrow;Medulla flava ossis;Moëlle osseuse jaune;Médula ósea amarilla;Medula óssea amarela;Midollo osseo giallo;389"
"Red bone marrow;Medullae rubrae ossium;Moëlle osseuse rouge;Médula ósea roja;Medula óssea vermelha;Midollo osseo rosso;390"
"Diaphysis;Diaphysis;Diaphyse;Diáfisis;Diáfise;Diafisi;391"
"Metaphysis;Metaphysis;Métaphyse;Metáfisis;Metafise;Metafisi;392"
"Epiphysis;Epiphysis;Epiphyse;Epífisis;Epífise;Epifisi;393"
"Epiphysial cartilage;Cartilago epiphysialis;Cartilage épiphysaire;Cartílago epifisario;Cartilagem epifisária;Cartilagine epifisaria;394"
"Epiphysial plate;Lamina epiphysialis;Lame épiphysaire;Lámina epifisaria;Placa epifisária;Piastra epifisaria;395"
"Epiphysial line;Linea epiphysialis;Ligne épiphysaire;Línea epifisaria;Linha epifisária;Linea epifisaria;396"
"Apophysis;Apophysis;Apophyse;Apófisis;Apófise;Apofisi;397"
"Articular surface;Facies articularis;Surface articulaire;Cara articular;Superfície articular;Superficie articolare;398"
"Articular fossa;Fossa articularis;Fosse articulaire;Fosa articular;Fossa articular;Fossa articolare;399"
"(Articular head);(Caput articulare);(Tête articulaire);(Cabeza articular);(Cabeça articular);(Testa articolare);400"
"Nutrient foramen;Foramen nutricium;Foramen nourricier;Foramen nutricio;Forame nutrício;Foro nutritizio;401"
"Nutrient canal;Canalis nutricius;Canal nourricier;Canal nutricio;Canal nutrício;Canale nutritizio;402"
"Ossification centres;Centra ossificationis;Centres d'ossification;Centros de osificación;Centros de ossificação;Centri di ossificazione;403"
"Primary ossification centre;Centrum primarium ossificationis;Centres d'ossification primaires;Centros de osificación primarios;Centro de ossificação primário;Centro di ossificazione primario;404"
"Secondary ossification centre;Centrum secundarium ossificationis;Centres d'ossifications secondaires;Centros de osificación secundarios;Centro de ossificação secundário;Centro di ossificazione secondario;405"
